StatisticsDate,TargetDiseaseCode,TargetDisease,MeasurementType,DailyCount,TotalCount,PopulationCoverage
2020-12-27,219,COVID-19,DosesAdministered,191,191,
2020-12-27,219,COVID-19,FullyVaccinated,0,0,0
2020-12-27,219,COVID-19,Vaccinated,191,191,0.01
2020-12-28,219,COVID-19,DosesAdministered,318,509,
2020-12-28,219,COVID-19,FullyVaccinated,1,1,0
2020-12-28,219,COVID-19,Vaccinated,318,509,0.04
2020-12-29,219,COVID-19,DosesAdministered,367,876,
2020-12-29,219,COVID-19,FullyVaccinated,1,2,0
2020-12-29,219,COVID-19,Vaccinated,367,876,0.07
2020-12-30,219,COVID-19,DosesAdministered,1013,1889,
2020-12-30,219,COVID-19,FullyVaccinated,1,3,0
2020-12-30,219,COVID-19,Vaccinated,1013,1889,0.14
2020-12-31,219,COVID-19,DosesAdministered,586,2475,
2020-12-31,219,COVID-19,FullyVaccinated,0,3,0
2020-12-31,219,COVID-19,Vaccinated,586,2475,0.19
2021-01-01,219,COVID-19,DosesAdministered,0,2475,
2021-01-01,219,COVID-19,FullyVaccinated,0,3,0
2021-01-01,219,COVID-19,Vaccinated,0,2475,0.19
2021-01-02,219,COVID-19,DosesAdministered,30,2505,
2021-01-02,219,COVID-19,FullyVaccinated,0,3,0
2021-01-02,219,COVID-19,Vaccinated,30,2505,0.19
2021-01-03,219,COVID-19,DosesAdministered,18,2523,
2021-01-03,219,COVID-19,FullyVaccinated,0,3,0
2021-01-03,219,COVID-19,Vaccinated,18,2523,0.19
2021-01-04,219,COVID-19,DosesAdministered,642,3165,
2021-01-04,219,COVID-19,FullyVaccinated,0,3,0
2021-01-04,219,COVID-19,Vaccinated,642,3165,0.24
2021-01-05,219,COVID-19,DosesAdministered,1812,4977,
2021-01-05,219,COVID-19,FullyVaccinated,6,9,0
2021-01-05,219,COVID-19,Vaccinated,1810,4975,0.37
2021-01-06,219,COVID-19,DosesAdministered,1612,6589,
2021-01-06,219,COVID-19,FullyVaccinated,1,10,0
2021-01-06,219,COVID-19,Vaccinated,1611,6586,0.5
2021-01-07,219,COVID-19,DosesAdministered,1342,7931,
2021-01-07,219,COVID-19,FullyVaccinated,1,11,0
2021-01-07,219,COVID-19,Vaccinated,1342,7928,0.6
2021-01-08,219,COVID-19,DosesAdministered,2215,10146,
2021-01-08,219,COVID-19,FullyVaccinated,2,13,0
2021-01-08,219,COVID-19,Vaccinated,2215,10143,0.76
2021-01-09,219,COVID-19,DosesAdministered,551,10697,
2021-01-09,219,COVID-19,FullyVaccinated,0,13,0
2021-01-09,219,COVID-19,Vaccinated,551,10694,0.8
2021-01-10,219,COVID-19,DosesAdministered,223,10920,
2021-01-10,219,COVID-19,FullyVaccinated,0,13,0
2021-01-10,219,COVID-19,Vaccinated,223,10917,0.82
2021-01-11,219,COVID-19,DosesAdministered,849,11769,
2021-01-11,219,COVID-19,FullyVaccinated,0,13,0
2021-01-11,219,COVID-19,Vaccinated,849,11766,0.88
2021-01-12,219,COVID-19,DosesAdministered,1580,13349,
2021-01-12,219,COVID-19,FullyVaccinated,2,15,0
2021-01-12,219,COVID-19,Vaccinated,1580,13346,1
2021-01-13,219,COVID-19,DosesAdministered,1395,14744,
2021-01-13,219,COVID-19,FullyVaccinated,3,18,0
2021-01-13,219,COVID-19,Vaccinated,1395,14741,1.11
2021-01-14,219,COVID-19,DosesAdministered,1780,16524,
2021-01-14,219,COVID-19,FullyVaccinated,6,24,0
2021-01-14,219,COVID-19,Vaccinated,1780,16521,1.24
2021-01-15,219,COVID-19,DosesAdministered,1281,17805,
2021-01-15,219,COVID-19,FullyVaccinated,9,33,0
2021-01-15,219,COVID-19,Vaccinated,1281,17802,1.34
2021-01-16,219,COVID-19,DosesAdministered,220,18025,
2021-01-16,219,COVID-19,FullyVaccinated,2,35,0
2021-01-16,219,COVID-19,Vaccinated,220,18022,1.35
2021-01-17,219,COVID-19,DosesAdministered,96,18121,
2021-01-17,219,COVID-19,FullyVaccinated,66,101,0.01
2021-01-17,219,COVID-19,Vaccinated,30,18052,1.36
2021-01-18,219,COVID-19,DosesAdministered,1034,19155,
2021-01-18,219,COVID-19,FullyVaccinated,376,477,0.04
2021-01-18,219,COVID-19,Vaccinated,659,18711,1.41
2021-01-19,219,COVID-19,DosesAdministered,1161,20316,
2021-01-19,219,COVID-19,FullyVaccinated,407,884,0.07
2021-01-19,219,COVID-19,Vaccinated,758,19469,1.46
2021-01-20,219,COVID-19,DosesAdministered,1482,21798,
2021-01-20,219,COVID-19,FullyVaccinated,634,1518,0.11
2021-01-20,219,COVID-19,Vaccinated,852,20321,1.53
2021-01-21,219,COVID-19,DosesAdministered,2181,23979,
2021-01-21,219,COVID-19,FullyVaccinated,682,2200,0.17
2021-01-21,219,COVID-19,Vaccinated,1516,21837,1.64
2021-01-22,219,COVID-19,DosesAdministered,1502,25481,
2021-01-22,219,COVID-19,FullyVaccinated,277,2477,0.19
2021-01-22,219,COVID-19,Vaccinated,1233,23070,1.73
2021-01-23,219,COVID-19,DosesAdministered,258,25739,
2021-01-23,219,COVID-19,FullyVaccinated,12,2489,0.19
2021-01-23,219,COVID-19,Vaccinated,255,23325,1.75
2021-01-24,219,COVID-19,DosesAdministered,161,25900,
2021-01-24,219,COVID-19,FullyVaccinated,0,2489,0.19
2021-01-24,219,COVID-19,Vaccinated,161,23486,1.77
2021-01-25,219,COVID-19,DosesAdministered,1062,26962,
2021-01-25,219,COVID-19,FullyVaccinated,688,3177,0.24
2021-01-25,219,COVID-19,Vaccinated,375,23861,1.79
2021-01-26,219,COVID-19,DosesAdministered,2393,29355,
2021-01-26,219,COVID-19,FullyVaccinated,1650,4827,0.36
2021-01-26,219,COVID-19,Vaccinated,743,24604,1.85
2021-01-27,219,COVID-19,DosesAdministered,2135,31490,
2021-01-27,219,COVID-19,FullyVaccinated,1497,6324,0.48
2021-01-27,219,COVID-19,Vaccinated,639,25243,1.9
2021-01-28,219,COVID-19,DosesAdministered,2471,33961,
2021-01-28,219,COVID-19,FullyVaccinated,1402,7726,0.57
2021-01-28,219,COVID-19,Vaccinated,1071,26314,1.98
2021-01-29,219,COVID-19,DosesAdministered,3207,37168,
2021-01-29,219,COVID-19,FullyVaccinated,1993,9719,0.73
2021-01-29,219,COVID-19,Vaccinated,1220,27534,2.06
2021-01-30,219,COVID-19,DosesAdministered,831,37999,
2021-01-30,219,COVID-19,FullyVaccinated,565,10284,0.77
2021-01-30,219,COVID-19,Vaccinated,266,27800,2.09
2021-01-31,219,COVID-19,DosesAdministered,538,38537,
2021-01-31,219,COVID-19,FullyVaccinated,257,10541,0.79
2021-01-31,219,COVID-19,Vaccinated,285,28085,2.11
2021-02-01,219,COVID-19,DosesAdministered,1608,40145,
2021-02-01,219,COVID-19,FullyVaccinated,893,11434,0.86
2021-02-01,219,COVID-19,Vaccinated,719,28804,2.17
2021-02-02,219,COVID-19,DosesAdministered,2769,42914,
2021-02-02,219,COVID-19,FullyVaccinated,1529,12963,0.97
2021-02-02,219,COVID-19,Vaccinated,1245,30049,2.25
2021-02-03,219,COVID-19,DosesAdministered,3195,46109,
2021-02-03,219,COVID-19,FullyVaccinated,1539,14502,1.09
2021-02-03,219,COVID-19,Vaccinated,1662,31711,2.38
2021-02-04,219,COVID-19,DosesAdministered,3601,49710,
2021-02-04,219,COVID-19,FullyVaccinated,1600,16102,1.21
2021-02-04,219,COVID-19,Vaccinated,2044,33755,2.54
2021-02-05,219,COVID-19,DosesAdministered,3066,52776,
2021-02-05,219,COVID-19,FullyVaccinated,1526,17628,1.33
2021-02-05,219,COVID-19,Vaccinated,1549,35304,2.65
2021-02-06,219,COVID-19,DosesAdministered,552,53328,
2021-02-06,219,COVID-19,FullyVaccinated,149,17777,1.34
2021-02-06,219,COVID-19,Vaccinated,407,35711,2.68
2021-02-07,219,COVID-19,DosesAdministered,58,53386,
2021-02-07,219,COVID-19,FullyVaccinated,48,17825,1.34
2021-02-07,219,COVID-19,Vaccinated,11,35722,2.69
2021-02-08,219,COVID-19,DosesAdministered,1625,55011,
2021-02-08,219,COVID-19,FullyVaccinated,632,18457,1.39
2021-02-08,219,COVID-19,Vaccinated,997,36719,2.76
2021-02-09,219,COVID-19,DosesAdministered,3150,58161,
2021-02-09,219,COVID-19,FullyVaccinated,882,19339,1.45
2021-02-09,219,COVID-19,Vaccinated,2277,38996,2.93
2021-02-10,219,COVID-19,DosesAdministered,3498,61659,
2021-02-10,219,COVID-19,FullyVaccinated,917,20256,1.52
2021-02-10,219,COVID-19,Vaccinated,2591,41587,3.13
2021-02-11,219,COVID-19,DosesAdministered,4053,65712,
2021-02-11,219,COVID-19,FullyVaccinated,1319,21575,1.62
2021-02-11,219,COVID-19,Vaccinated,2756,44343,3.33
2021-02-12,219,COVID-19,DosesAdministered,2339,68051,
2021-02-12,219,COVID-19,FullyVaccinated,821,22396,1.68
2021-02-12,219,COVID-19,Vaccinated,1533,45876,3.45
2021-02-13,219,COVID-19,DosesAdministered,291,68342,
2021-02-13,219,COVID-19,FullyVaccinated,161,22557,1.7
2021-02-13,219,COVID-19,Vaccinated,132,46008,3.46
2021-02-14,219,COVID-19,DosesAdministered,61,68403,
2021-02-14,219,COVID-19,FullyVaccinated,59,22616,1.7
2021-02-14,219,COVID-19,Vaccinated,2,46010,3.46
2021-02-15,219,COVID-19,DosesAdministered,846,69249,
2021-02-15,219,COVID-19,FullyVaccinated,238,22854,1.72
2021-02-15,219,COVID-19,Vaccinated,618,46628,3.51
2021-02-16,219,COVID-19,DosesAdministered,2402,71651,
2021-02-16,219,COVID-19,FullyVaccinated,592,23446,1.76
2021-02-16,219,COVID-19,Vaccinated,1829,48457,3.64
2021-02-17,219,COVID-19,DosesAdministered,4327,75978,
2021-02-17,219,COVID-19,FullyVaccinated,714,24160,1.82
2021-02-17,219,COVID-19,Vaccinated,3665,52122,3.92
2021-02-18,219,COVID-19,DosesAdministered,6299,82277,
2021-02-18,219,COVID-19,FullyVaccinated,1113,25273,1.9
2021-02-18,219,COVID-19,Vaccinated,5284,57406,4.32
2021-02-19,219,COVID-19,DosesAdministered,4774,87051,
2021-02-19,219,COVID-19,FullyVaccinated,1060,26333,1.98
2021-02-19,219,COVID-19,Vaccinated,3772,61178,4.59
2021-02-20,219,COVID-19,DosesAdministered,810,87861,
2021-02-20,219,COVID-19,FullyVaccinated,239,26572,2
2021-02-20,219,COVID-19,Vaccinated,587,61765,4.63
2021-02-21,219,COVID-19,DosesAdministered,833,88694,
2021-02-21,219,COVID-19,FullyVaccinated,331,26903,2.02
2021-02-21,219,COVID-19,Vaccinated,512,62277,4.68
2021-02-22,219,COVID-19,DosesAdministered,2991,91685,
2021-02-22,219,COVID-19,FullyVaccinated,953,27856,2.09
2021-02-22,219,COVID-19,Vaccinated,2094,64371,4.84
2021-02-23,219,COVID-19,DosesAdministered,4704,96389,
2021-02-23,219,COVID-19,FullyVaccinated,1006,28862,2.17
2021-02-23,219,COVID-19,Vaccinated,3785,68156,5.12
2021-02-24,219,COVID-19,DosesAdministered,462,96851,
2021-02-24,219,COVID-19,FullyVaccinated,142,29004,2.18
2021-02-24,219,COVID-19,Vaccinated,331,68487,5.15
2021-02-25,219,COVID-19,DosesAdministered,6535,103386,
2021-02-25,219,COVID-19,FullyVaccinated,2883,31887,2.4
2021-02-25,219,COVID-19,Vaccinated,3724,72211,5.43
2021-02-26,219,COVID-19,DosesAdministered,7535,110921,
2021-02-26,219,COVID-19,FullyVaccinated,2428,34315,2.58
2021-02-26,219,COVID-19,Vaccinated,5180,77391,5.82
2021-02-27,219,COVID-19,DosesAdministered,1457,112378,
2021-02-27,219,COVID-19,FullyVaccinated,442,34757,2.61
2021-02-27,219,COVID-19,Vaccinated,1035,78426,5.9
2021-02-28,219,COVID-19,DosesAdministered,310,112688,
2021-02-28,219,COVID-19,FullyVaccinated,128,34885,2.62
2021-02-28,219,COVID-19,Vaccinated,184,78610,5.91
2021-03-01,219,COVID-19,DosesAdministered,3466,116154,
2021-03-01,219,COVID-19,FullyVaccinated,1062,35947,2.7
2021-03-01,219,COVID-19,Vaccinated,2444,81054,6.09
2021-03-02,219,COVID-19,DosesAdministered,5271,121425,
2021-03-02,219,COVID-19,FullyVaccinated,2369,38316,2.88
2021-03-02,219,COVID-19,Vaccinated,2965,84019,6.32
2021-03-03,219,COVID-19,DosesAdministered,5302,126727,
2021-03-03,219,COVID-19,FullyVaccinated,2431,40747,3.06
2021-03-03,219,COVID-19,Vaccinated,2908,86927,6.54
2021-03-04,219,COVID-19,DosesAdministered,7631,134358,
2021-03-04,219,COVID-19,FullyVaccinated,2566,43313,3.26
2021-03-04,219,COVID-19,Vaccinated,5134,92061,6.92
2021-03-05,219,COVID-19,DosesAdministered,7094,141452,
2021-03-05,219,COVID-19,FullyVaccinated,1625,44938,3.38
2021-03-05,219,COVID-19,Vaccinated,5570,97631,7.34
2021-03-06,219,COVID-19,DosesAdministered,3749,145201,
2021-03-06,219,COVID-19,FullyVaccinated,217,45155,3.39
2021-03-06,219,COVID-19,Vaccinated,3586,101217,7.61
2021-03-07,219,COVID-19,DosesAdministered,999,146200,
2021-03-07,219,COVID-19,FullyVaccinated,12,45167,3.4
2021-03-07,219,COVID-19,Vaccinated,994,102211,7.68
2021-03-08,219,COVID-19,DosesAdministered,3663,149863,
2021-03-08,219,COVID-19,FullyVaccinated,297,45464,3.42
2021-03-08,219,COVID-19,Vaccinated,3416,105627,7.94
2021-03-09,219,COVID-19,DosesAdministered,5108,154971,
2021-03-09,219,COVID-19,FullyVaccinated,1146,46610,3.5
2021-03-09,219,COVID-19,Vaccinated,4034,109661,8.24
2021-03-10,219,COVID-19,DosesAdministered,6443,161414,
2021-03-10,219,COVID-19,FullyVaccinated,2518,49128,3.69
2021-03-10,219,COVID-19,Vaccinated,4001,113662,8.55
2021-03-11,219,COVID-19,DosesAdministered,11100,172514,
2021-03-11,219,COVID-19,FullyVaccinated,3044,52172,3.92
2021-03-11,219,COVID-19,Vaccinated,8175,121837,9.16
2021-03-12,219,COVID-19,DosesAdministered,7661,180175,
2021-03-12,219,COVID-19,FullyVaccinated,2059,54231,4.08
2021-03-12,219,COVID-19,Vaccinated,5728,127565,9.59
2021-03-13,219,COVID-19,DosesAdministered,5502,185677,
2021-03-13,219,COVID-19,FullyVaccinated,148,54379,4.09
2021-03-13,219,COVID-19,Vaccinated,5423,132988,10
2021-03-14,219,COVID-19,DosesAdministered,5281,190958,
2021-03-14,219,COVID-19,FullyVaccinated,53,54432,4.09
2021-03-14,219,COVID-19,Vaccinated,5266,138254,10.39
2021-03-15,219,COVID-19,DosesAdministered,3621,194579,
2021-03-15,219,COVID-19,FullyVaccinated,330,54762,4.12
2021-03-15,219,COVID-19,Vaccinated,3352,141606,10.65
2021-03-16,219,COVID-19,DosesAdministered,4544,199123,
2021-03-16,219,COVID-19,FullyVaccinated,878,55640,4.18
2021-03-16,219,COVID-19,Vaccinated,3742,145348,10.93
2021-03-17,219,COVID-19,DosesAdministered,5423,204546,
2021-03-17,219,COVID-19,FullyVaccinated,399,56039,4.21
2021-03-17,219,COVID-19,Vaccinated,5167,150515,11.32
2021-03-18,219,COVID-19,DosesAdministered,7420,211966,
2021-03-18,219,COVID-19,FullyVaccinated,942,56981,4.28
2021-03-18,219,COVID-19,Vaccinated,6635,157150,11.82
2021-03-19,219,COVID-19,DosesAdministered,8620,220586,
2021-03-19,219,COVID-19,FullyVaccinated,2380,59361,4.46
2021-03-19,219,COVID-19,Vaccinated,6446,163596,12.3
2021-03-20,219,COVID-19,DosesAdministered,2278,222864,
2021-03-20,219,COVID-19,FullyVaccinated,98,59459,4.47
2021-03-20,219,COVID-19,Vaccinated,2221,165817,12.47
2021-03-21,219,COVID-19,DosesAdministered,1343,224207,
2021-03-21,219,COVID-19,FullyVaccinated,37,59496,4.47
2021-03-21,219,COVID-19,Vaccinated,1321,167138,12.57
2021-03-22,219,COVID-19,DosesAdministered,2489,226696,
2021-03-22,219,COVID-19,FullyVaccinated,602,60098,4.51
2021-03-22,219,COVID-19,Vaccinated,1951,169089,12.71
2021-03-23,219,COVID-19,DosesAdministered,2926,229622,
2021-03-23,219,COVID-19,FullyVaccinated,263,60361,4.54
2021-03-23,219,COVID-19,Vaccinated,2744,171833,12.92
2021-03-24,219,COVID-19,DosesAdministered,5652,235274,
2021-03-24,219,COVID-19,FullyVaccinated,478,60839,4.57
2021-03-24,219,COVID-19,Vaccinated,5247,177080,13.31
2021-03-25,219,COVID-19,DosesAdministered,10036,245310,
2021-03-25,219,COVID-19,FullyVaccinated,1685,62524,4.7
2021-03-25,219,COVID-19,Vaccinated,8485,185565,13.95
2021-03-26,219,COVID-19,DosesAdministered,6677,251987,
2021-03-26,219,COVID-19,FullyVaccinated,952,63476,4.76
2021-03-26,219,COVID-19,Vaccinated,5811,191376,14.39
2021-03-27,219,COVID-19,DosesAdministered,2388,254375,
2021-03-27,219,COVID-19,FullyVaccinated,278,63754,4.79
2021-03-27,219,COVID-19,Vaccinated,2130,193506,14.55
2021-03-28,219,COVID-19,DosesAdministered,535,254910,
2021-03-28,219,COVID-19,FullyVaccinated,83,63837,4.8
2021-03-28,219,COVID-19,Vaccinated,487,193993,14.59
2021-03-29,219,COVID-19,DosesAdministered,2284,257194,
2021-03-29,219,COVID-19,FullyVaccinated,425,64262,4.83
2021-03-29,219,COVID-19,Vaccinated,1943,195936,14.73
2021-03-30,219,COVID-19,DosesAdministered,3559,260753,
2021-03-30,219,COVID-19,FullyVaccinated,1107,65369,4.91
2021-03-30,219,COVID-19,Vaccinated,2587,198523,14.93
2021-03-31,219,COVID-19,DosesAdministered,5976,266729,
2021-03-31,219,COVID-19,FullyVaccinated,1660,67029,5.04
2021-03-31,219,COVID-19,Vaccinated,4459,202982,15.26
2021-04-01,219,COVID-19,DosesAdministered,11943,278672,
2021-04-01,219,COVID-19,FullyVaccinated,4133,71162,5.35
2021-04-01,219,COVID-19,Vaccinated,7986,210968,15.86
2021-04-02,219,COVID-19,DosesAdministered,3933,282605,
2021-04-02,219,COVID-19,FullyVaccinated,449,71611,5.38
2021-04-02,219,COVID-19,Vaccinated,3551,214519,16.13
2021-04-03,219,COVID-19,DosesAdministered,8424,291029,
2021-04-03,219,COVID-19,FullyVaccinated,819,72430,5.45
2021-04-03,219,COVID-19,Vaccinated,7797,222316,16.71
2021-04-04,219,COVID-19,DosesAdministered,4148,295177,
2021-04-04,219,COVID-19,FullyVaccinated,197,72627,5.46
2021-04-04,219,COVID-19,Vaccinated,4009,226325,17.02
2021-04-05,219,COVID-19,DosesAdministered,3493,298670,
2021-04-05,219,COVID-19,FullyVaccinated,1114,73741,5.54
2021-04-05,219,COVID-19,Vaccinated,2506,228831,17.2
2021-04-06,219,COVID-19,DosesAdministered,3609,302279,
2021-04-06,219,COVID-19,FullyVaccinated,1220,74961,5.64
2021-04-06,219,COVID-19,Vaccinated,2476,231307,17.39
2021-04-07,219,COVID-19,DosesAdministered,6008,308287,
2021-04-07,219,COVID-19,FullyVaccinated,1227,76188,5.73
2021-04-07,219,COVID-19,Vaccinated,4895,236202,17.76
2021-04-08,219,COVID-19,DosesAdministered,12899,321186,
2021-04-08,219,COVID-19,FullyVaccinated,1536,77724,5.84
2021-04-08,219,COVID-19,Vaccinated,11630,247832,18.63
2021-04-09,219,COVID-19,DosesAdministered,10640,331826,
2021-04-09,219,COVID-19,FullyVaccinated,1259,78983,5.94
2021-04-09,219,COVID-19,Vaccinated,9570,257402,19.35
2021-04-10,219,COVID-19,DosesAdministered,1629,333455,
2021-04-10,219,COVID-19,FullyVaccinated,455,79438,5.97
2021-04-10,219,COVID-19,Vaccinated,1224,258626,19.44
2021-04-11,219,COVID-19,DosesAdministered,330,333785,
2021-04-11,219,COVID-19,FullyVaccinated,51,79489,5.98
2021-04-11,219,COVID-19,Vaccinated,285,258911,19.47
2021-04-12,219,COVID-19,DosesAdministered,1918,335703,
2021-04-12,219,COVID-19,FullyVaccinated,505,79994,6.01
2021-04-12,219,COVID-19,Vaccinated,1468,260379,19.57
2021-04-13,219,COVID-19,DosesAdministered,2858,338561,
2021-04-13,219,COVID-19,FullyVaccinated,634,80628,6.06
